index,tag,depth,id,classes,attrs,inner_text_len
284,a,8,,block-link,"{""href"": ""/us/pokedex/pidgeotto"", ""title"": ""Pidgeotto"", ""style"": ""background-color: #fff; opacity: 0;""}",17
285,span,9,,offscreen,{},17
286,li,7,,,"{""data-analytics-label"": ""Dracozolt | "", ""data-content-id"": ""featured-item"", ""data-content-type"": ""Slider"", ""data-content-variation"": ""slideCenter"", ""data-content-location"": """", ""data-content-category"": ""Featured Pokemon"", ""data-content-download"": """"}",77
287,div,8,,pokedex-bg,{},3
288,img,8,,pokemon-character preload,"{""data-preload-src"": ""/static-assets/content-assets/cms2/img/pokedex/full/880.png"", ""alt"": ""Dracozolt""}",0
289,div,8,,mini-profile,{},57
290,h5,9,,,{},12
291,span,10,,pokedex,{},3
292,dl,9,,,{},45
293,dt,10,,,{},4
294,dd,10,,types,{},14
295,span,11,,type-label background-color-electric,{},8
296,span,11,,type-label background-color-dragon,{},6
297,dt,10,,,{},9
298,dd,10,,abilities,{},18
299,span,11,,ability-label,{},11
300,span,11,,ability-label,{},6
301,span,9,,notch-bottom-center-small,{},0
302,a,8,,block-link,"{""href"": ""/us/pokedex/dracozolt"", ""title"": ""Dracozolt"", ""style"": ""background-color: #fff; opacity: 0;""}",17
303,span,9,,offscreen,{},17
304,div,5,,slider-more-button,{},20
305,div,6,,column-12 push-1,{},20
306,div,7,,content-block content-block-full,{},20
307,a,8,,button button-black right,"{""href"": ""/us/pokedex/""}",20
308,section,4,,mosaic section,"{""data-tile-template"": ""MosaicD""}",1019
309,script,5,,,{},37
310,div,5,,column-4 push-1 staggered-1,"{""data-tile-position"": ""Left_""}",347
311,div,6,,content-block content-block-full visible-mobile,{},20
312,h2,7,,section-title,{},20
313,a,6,,,"{""href"": ""/us/features/check-out-the-top-five-cards-from-mega-evolution-pitch-black""}",211
314,div,7,,content-block content-block-full,{},211
315,div,8,,tile-image-wrapper,{},0
316,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/me/me05/top-cards/me05-169-en.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/me/me05/top-cards/me05-169-en.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/me/me05/top-cards/me05-169-en.png"", ""alt"": ""Ellis Longhurst Shares Her Top Five Cards from Mega Evolution—Pitch Black""}",0
317,div,8,,banner banner banner-black,{},211
318,h3,9,,,{},72
319,em,10,,,{},26
320,p,9,,,{},139
321,a,6,,,"{""href"": ""/us/features/celebrate-mewtwo-with-a-pokemon-tcg-retrospective""}",116
322,div,7,,content-block content-block-full,{},116
323,div,8,,tile-image-wrapper,{},0
324,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/2026/mewtwo-spotlight/mewtwo-spotlight-169-en.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/2026/mewtwo-spotlight/mewtwo-spotlight-169-en.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/trading-card-game/_tiles/2026/mewtwo-spotlight/mewtwo-spotlight-169-en.png"", ""alt"": ""Look Back and Appreciate Mewtwo in the Pokémon TCG""}",0
325,div,8,,banner banner banner-purple,{},116
326,h3,9,,,{},50
327,p,9,,,{},66
328,div,5,,column-4 push-5,"{""data-tile-position"": ""Middle_""}",317
329,a,6,,,"{""href"": ""/us/news/pokemon-tcg-pocket-ruler-of-the-skies-expansion-coming-soon""}",124
330,div,7,,content-block content-block-full,{},124
331,div,8,,tile-image-wrapper,{},0
